IPO 기업명,IPO일자,공모총액(USD),공모시총(USD),참여 코너스톤 투자자 기관수,코너스톤 투자자 배정 총액(USD),코너스톤 배정 비율(%),참여 코너스톤 투자자명(배정비중순),stock_code
"Xiamen Jihong Co., Ltd - H shares",2025-05-27,66537662,,0,0,0.0,,02603
Shouhui Group Ltd.,2025-05-30,25100543,,0,0,0.0,,02621
MetaLight Inc.,2025-06-10,30880797,,0,0,0.0,,02605
"Newtrend Group Holding Co., Ltd. - H shares",2025-06-10,25493045,,0,0,0.0,,02573
"Rongta Technology (Xiamen) Group Co., Ltd. - H shares",2025-06-10,23446092,,0,0,0.0,,09881
Foshan Haitian Flavouring and Food Company Ltd. - H shares,2025-06-19,1346766734,,0,0,0.0,,03288
Bayzed Health Group Inc,2025-06-23,71557974,,0,0,0.0,,02609
"TransThera Sciences (Nanjing), Inc. - B - H shares",2025-06-23,25599185,,0,0,0.0,,02617
"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares",2025-06-23,1367747330,,0,0,0.0,,02050
CaoCao Inc.,2025-06-25,236071002,,0,0,0.0,,02643
"X.J. Electrics (Hu Bei) Co., Ltd - H Shares",2025-06-25,24858792,,0,0,0.0,,02619
Eternal Beauty Holdings Limited,2025-06-26,122330539,,0,0,0.0,,06883
SAINT BELLA Inc.,2025-06-26,102438089,,0,0,0.0,,02508
"Zhou Liu Fu Jewellery Co., Ltd. - H shares",2025-06-26,189279358,,0,0,0.0,,06168
IFBH Limited,2025-06-30,169694783,,0,0,0.0,,06603
Medtide Inc. - H shares,2025-06-30,65488734,,0,0,0.0,,03880
"Unisound AI Technology Co., Ltd. - H shares",2025-06-30,46879529,,0,0,0.0,,09678
Cloudbreak Pharma Inc. - B,2025-07-03,77969111,,0,0,0.0,,02592
"Anjoy Foods Group Co., Ltd. - H shares",2025-07-04,305781562,,0,0,0.0,,02648
FWD Group Holdings Limited,2025-07-07,466388054,,0,0,0.0,,01828
"Beijing Geekplus Technology Co., Ltd. - W - H shares",2025-07-09,381114173,,0,0,0.0,,02590
"Beijing Xunzhong Communication Technology Co., Ltd. - H shares",2025-07-09,52544268,,0,0,0.0,,02597
"Fortior Technology (Shenzhen) Co., Ltd.- H shares",2025-07-09,330899891,,0,0,0.0,,01304
"Lens Technology Co., Ltd. - H shares",2025-07-09,698489217,,0,0,0.0,,06613
"Wuhan Dazhong Dental Medical Co., Ltd. - H shares",2025-07-09,27674080,,0,0,0.0,,02651
"Nanjing Leads Biolabs Co., Ltd. - B - H shares",2025-07-25,189010439,,0,0,0.0,,09887
"Ab&B Bio-Tech CO., LTD. JS - B - H shares",2025-08-11,54958870,,0,0,0.0,,02627
"Guangzhou Innogen Pharmaceutical Group Co., Ltd. - B - H shares",2025-08-15,87161253,,0,0,0.0,,02591
"SICC CO., LTD. - H shares",2025-08-20,300816797,,0,0,0.0,,02631
"SHUANGDENG GROUP CO., LTD. - H shares",2025-08-26,125373788,,0,0,0.0,,06960
Jiaxin International Resources Investment Limited,2025-08-28,176925151,,0,0,0.0,,03858
"AUX ELECTRIC CO., LTD.",2025-09-02,531547518,,0,0,0.0,,02580
"DAHON TECH (SHENZHEN) CO., LTD. - H shares",2025-09-09,57468483,,0,0,0.0,,02543
Hesai Group - W,2025-09-16,614908362,,0,0,0.0,,02525
160 Health International Limited,2025-09-17,51439567,,0,0,0.0,,02656
GenFleet Therapeutics (Shanghai) Inc - B - H shares,2025-09-19,269064487,,0,0,0.0,,02595
BUTONG GROUP,2025-09-23,100552264,,0,0,0.0,,06090
"Chery Automobile Co., Ltd. - H shares",2025-09-25,1338515758,,0,0,0.0,,09973
PATEO CONNECT Technology (Shanghai) Corporation - H shares,2025-09-30,137107398,,0,0,0.0,,02889
"Shenzhen Hiphine Precision Technology Co., Ltd. - H shares",2025-09-30,40318891,,0,0,0.0,,02583
Zijin Gold International Company Limited,2025-09-30,3692113613,,0,0,0.0,,02259
"CF PharmTech, Inc. - H shares",2025-10-08,78090688,,0,0,0.0,,02652
"Shanghai Zhida Technology Development Co., Ltd. - H shares",2025-10-10,51412563,,0,0,0.0,,02650
"Xuanzhu Biopharmaceutical Co., Ltd. - B - H shares",2025-10-15,100458983,,0,0,0.0,,02575
"Beijing Yunji Technology Co., Ltd. - H shares",2025-10-16,97620189,,0,0,0.0,,02670
"Fujian Haixi Pharmaceuticals Co., Ltd. - H shares",2025-10-20,127912008,,0,0,0.0,,02637
JST Group Corporation Limited,2025-10-21,308674028,,0,0,0.0,,06687
Fibocom Wireless Inc. - H shares,2025-10-22,373754798,,0,0,0.0,,00638
"Bama Tea Co., Ltd. - H shares",2025-10-28,57933773,,0,0,0.0,,06980
"CIG SHANGHAI CO., LTD. - H shares",2025-10-28,683364977,,0,0,0.0,,06166
"Deepexi Technology Co., Ltd. - H shares",2025-10-28,91407794,,0,0,0.0,,01384
"SANY HEAVY INDUSTRY CO., LTD. - H shares",2025-10-28,1976067803,,0,0,0.0,,06031
Mininglamp Technology - W,2025-11-03,150635495,,0,0,0.0,,02718
"Seres Group Co., Ltd. - H shares",2025-11-05,1837355361,,0,0,0.0,,09927
NINGBO JOYSON ELECTRONIC CORP.- H shares,2025-11-06,438879467,,0,0,0.0,,00699
Pony AI Inc. - W,2025-11-06,862608833,,0,0,0.0,,02026
"Vigonvita Life Sciences Co., Ltd. - B - H shares",2025-11-06,75531023,,0,0,0.0,,02630
WeRide Inc. - W,2025-11-06,307605990,,0,0,0.0,,00800
Softcare Limited,2025-11-10,352129040,,0,0,0.0,,02698
"CNGR Advanced Material Co., Ltd. - H shares",2025-11-17,455981340,,0,0,0.0,,02579
Chuangxin Industries Holdings Limited,2025-11-24,812001834,,0,0,0.0,,02788
Quantgroup Holding Limited,2025-11-27,19022795,,0,0,0.0,,02685
"Hebei Haiwei Electronic New Material Technology Co., Ltd.- H shares",2025-11-28,68317906,,0,0,0.0,,09609
"ANHUI JINYAN KAOLIN NEW MATERIALS CO., LTD. - H shares",2025-12-03,22787883,,0,0,0.0,,02693
"Lemo Services Co., Ltd - H shares",2025-12-03,28547351,,0,0,0.0,,02539
"Guangdong Tianyu Semiconductor Co., Ltd. - H shares",2025-12-05,224124968,,0,0,0.0,,02658
"Guangzhou Xiao Noodles Catering Management Co., Ltd.- H shares",2025-12-05,88083567,,0,0,0.0,,02408
"SHANGHAI ABLE DIGITAL SCIENCE&TECH CO., LTD. - H shares",2025-12-08,57811481,,0,0,0.0,,02687
"Suzhou Novosense Microelectronics Co., Ltd. - H shares",2025-12-08,299464545,,0,0,0.0,,02676
"Shanghai Bao Pharmaceuticals Co., Ltd. - B - H shares",2025-12-10,128510604,,0,0,0.0,,02659
"JINGDONG Industrials, Inc.",2025-12-11,390002298,,0,0,0.0,,07618
"Guoxia Technology Co., Ltd. - H shares",2025-12-16,115636730,,0,0,0.0,,02655
HashKey Holdings Limited,2025-12-17,207325135,,0,0,0.0,,03887
CiDi Inc. - H shares,2025-12-19,182791250,,0,0,0.0,,03881
"Xizang Zhihui Mining Co., Ltd. - H shares",2025-12-19,70685453,,0,0,0.0,,02546
B&K CORPORATION LIMITED - B - H shares,2025-12-22,86643702,,0,0,0.0,,02396
BenQ BM Holding Cayman Corp.,2025-12-22,80422975,,0,0,0.0,,02581
"Impression Dahongpao Co., Ltd. - H shares",2025-12-22,16701988,,0,0,0.0,,02695
"Nanhua Futures Co., Ltd. - H shares",2025-12-22,166031329,,0,0,0.0,,02691
"Hanx Biopharmaceuticals (Wuhan) Co., Ltd. - B - H shares",2025-12-23,75356296,,0,0,0.0,,03378
"Nuobikan Artificial Intelligence Technology (Chengdu) Co., Ltd. - H shares",2025-12-23,38936760,,0,0,0.0,,02635
QingSong Health Corporation,2025-12-23,77368533,,0,0,0.0,,02661
"Beijing 51WORLD Digital Twin Technology Co., Ltd.- H shares",2025-12-30,94074462,,0,0,0.0,,06651
InSilico Medicine Cayman TopCo,2025-12-30,336921479,,0,0,0.0,,03696
"OneRobotics (Shenzhen) Co., Ltd.- H shares",2025-12-30,240740127,,0,0,0.0,,06600
"SHANGHAI FOREST CABIN COSMETICS GROUP CO., LTD. - H shares",2025-12-30,160696036,,0,0,0.0,,02657
"Shenzhen Xunce Technology Co., Ltd.- H shares",2025-12-30,140142419,,0,0,0.0,,03317
"USAS Building System (Shanghai) Co., Ltd. - H shares",2025-12-30,22470003,,0,0,0.0,,02671
"Shanghai Biren Technology Co., Ltd.- H shares",2026-01-02,824683158,,0,0,0.0,,06082
Knowledge Atlas Technology Joint Stock Company Limited - H shares,2026-01-08,642225151,,0,0,0.0,,02513
"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares",2026-01-08,472314203,,0,0,0.0,,09903
"Shenzhen Edge Medical Co., Ltd.- B - H shares",2026-01-08,177050200,,0,0,0.0,,02675
MiniMax Group Inc. - W - P,2026-01-09,711017034,,0,0,0.0,,00100
"Suzhou Ribo Life Science Co., Ltd. - B - H shares",2026-01-09,270445828,,0,0,0.0,,06938
"Yunnan Jinxun Resources Co., Ltd. - H shares",2026-01-09,162783885,,0,0,0.0,,03636
"OmniVision Integrated Circuits Group, Inc. - H shares",2026-01-12,682263924,,0,0,0.0,,00501
GigaDevice Semiconductor Inc. - H shares,2026-01-13,690960206,,0,0,0.0,,03986
"Hongxing Coldchain (Hunan) Co., Ltd.- H shares",2026-01-13,36581548,,0,0,0.0,,01641
"Shanghai Longcheer Technology Co., Ltd.- H shares",2026-01-22,207773670,,0,0,0.0,,09611
"BUSY MING GROUP CO., LTD.- H shares",2026-01-28,541072312,,0,0,0.0,,01768
"Eastroc Beverage (Group) Co., Ltd. - H shares",2026-02-03,1421163329,,0,0,0.0,,09980
"Qingdao Gon Technology Co., Ltd. - H shares",2026-02-04,138224080,,0,0,0.0,,02768
Distinct Healthcare Holdings Limited,2026-02-06,37916913,,0,0,0.0,,02677
"Muyuan Foods Co., Ltd. - H shares",2026-02-06,1548395842,,0,0,0.0,,02714
"Shenzhen Han’s CNC Technology Co., Ltd. - H shares",2026-02-06,711349035,,0,0,0.0,,03200
"Montage Technology Co., Ltd. - H shares",2026-02-09,1036730952,,0,0,0.0,,06809
"Axera Semiconductor Co., Ltd. - H shares",2026-02-10,382842286,,0,0,0.0,,00600
Ridge Outdoor International Limited,2026-02-10,44213329,,0,0,0.0,,02720
"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD. - H shares",2026-02-11,633052098,,0,0,0.0,,00470
"Beijing Haizhi Technology Group Co., Ltd. - H Shares",2026-02-13,97037957,,0,0,0.0,,02706
"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares",2026-02-13,359799773,,0,0,0.0,,09981
"ALSCO Pooling Service Co., Ltd. - H Shares",2026-03-09,28618545,,0,0,0.0,,02649
"ESTUN AUTOMATION CO., LTD - H Shares",2026-03-09,190180577,,0,0,0.0,,02715
"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares",2026-03-09,243923253,,0,0,0.0,,02692
"MeiG Smart Technology Co., Ltd. - H Shares",2026-03-10,148534432,,0,0,0.0,,03268
Delton Technology (Guangzhou) Inc. - H Shares,2026-03-20,422089458,,0,0,0.0,,01989
Nsing Technologies Inc. - H Shares,2026-03-23,130973594,,0,0,0.0,,02701
FS.COM Ltd. - H Shares,2026-03-23,242557623,,0,0,0.0,,03355
"Jiangsu New Vision Automotive Electronics Co., Ltd. - H Shares",2026-03-24,91541752,,0,0,0.0,,02632
"Zhejiang Galaxis Technology Group Co., Ltd. - H Shares",2026-03-24,78247651,,0,0,0.0,,02729
"Guangdong Huayan Robotics Co., Ltd. - H Shares",2026-03-30,230779278,,0,0,0.0,,01021
"Hangzhou Diagens Biotechnology Co., Ltd. - B - H Shares",2026-03-30,101065737,,0,0,0.0,,02526
"Epiworld International Co., Ltd. - H Shares",2026-03-30,209168769,,0,0,0.0,,02726
"Shandong Extreme Vision Technology Co., Ltd. - H Shares",2026-03-30,63708411,,0,0,0.0,,06636
"Hangzhou Tongshifu Cultural and Creative (Group) Co., Ltd. - H Shares",2026-03-31,56696265,,0,0,0.0,,00664
"Shanghai FourSemi Semiconductor Co., Ltd. - H Shares",2026-03-31,61236988,,0,0,0.0,,03625
"Sigenergy Technology Co., Ltd. - H Shares",2026-04-16,646940348,,0,0,0.0,,06656
Gpixel Changchun Microelectronics Inc. - H Shares,2026-04-17,382805816,,0,0,0.0,,03277
Manycore Tech Inc.,2026-04-17,179928522,,0,0,0.0,,00068
"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares",2026-04-21,2954471758,,0,0,0.0,,02476
"Huaqin Co., Ltd. - H Shares",2026-04-23,667944987,,0,0,0.0,,03296
"Shanghai Xizhi Technology Co., Ltd. - P - H Shares",2026-04-28,370919332,,0,0,0.0,,01879
"Mabwell (Shanghai) Bioscience Co., Ltd. - B - H Shares",2026-04-28,166251307,,0,0,0.0,,02493
"Shanghai Sunmi Technology Co., Ltd. - W - H Shares",2026-04-29,135219566,,0,0,0.0,,06810
"Star Sports Medicine Co., Ltd. - H Shares",2026-05-05,105868974,,0,0,0.0,,01609
"Cofoe Medical Technology Co., Ltd. - H Shares",2026-05-06,135550054,,0,0,0.0,,01187
"SHENZHEN LDROBOT CO., LTD - H Shares",2026-05-11,112243995,,0,0,0.0,,01236
"IMPACT Therapeutics, Inc - B - H Shares",2026-05-13,123932888,,0,0,0.0,,07630
"Metis TechBio Co., Ltd. - P - H Shares",2026-05-13,310355664,,0,0,0.0,,07666
"Robotphoenix Intelligent Technology Co., Ltd. - H Shares",2026-05-18,95820208,,0,0,0.0,,06871
"UISEE Technologies (Beijing) Co., Ltd. - H Shares",2026-05-20,111347954,,0,0,0.0,,01511
"Shanghai Top Numerical Control Technology Co., Ltd. - H Shares",2026-05-20,253168977,,0,0,0.0,,07688
TenNor Therapeutics (Suzhou) Limited - B - H Shares,2026-05-22,85576577,,0,0,0.0,,06872
"Shenzhen SDMC Technology Co., Ltd. - H Shares",2026-05-27,80421900,,0,0,0.0,,00901
"Beijing DeepZero Technology Co., Ltd. - H Shares",2026-05-27,64244900,,0,0,0.0,,02723
"Viewtrix Technology Co., Ltd - H Shares",2026-05-27,161481993,,0,0,0.0,,03310
"Shenzhen Creality 3D Technology Co., Ltd. - H Shares",2026-05-29,202660699,,0,0,0.0,,03388
"Beijing Shougang LanzaTech Technology Co., Ltd. - H Shares",2026-06-03,74530292,,0,0,0.0,,02553
"Dajin Heavy Industry Co., Ltd. - H Shares",2026-06-05,867358100,,0,0,0.0,,01081
"LongBio Pharma (Suzhou) Co., Ltd. - B - H Shares",2026-06-05,200132867,,0,0,0.0,,01779
Lung Fung Group Holdings Limited,2026-06-05,82649375,,0,0,0.0,,02290
"Liuliumei Co., Ltd. - H Shares",2026-06-15,63769926,,0,0,0.0,,06658
"SENASIC Electronics Technology Co., Ltd. - H Shares",2026-06-17,131843048,,0,0,0.0,,06675
"Shenzhen HQVT Technology Co., Ltd. - H Shares",2026-06-22,78217441,,0,0,0.0,,01392
"Shenzhen Senior Technology Material Co., Ltd. - H Shares",2026-06-23,171256695,,0,0,0.0,,06067
"HJ Science Co., Ltd. - B - H Shares",2026-06-23,141890716,,0,0,0.0,,06132
"Shaanxi Micot Pharmaceutical Technology Co., Ltd. - B - H Shares",2026-06-24,134787709,,0,0,0.0,,02335
"Shanghai Seer Intelligent Technology Co., Ltd. - H Shares",2026-06-24,136055179,,0,0,0.0,,06106
LINGYI iTECH (GUANGDONG) COMPANY - H Shares,2026-06-26,1054173380,,0,0,0.0,,01688
"Beijing Zhongke WengeAI Science and Technology Co., Ltd. - H Shares",2026-06-26,125197839,,0,0,0.0,,01956
KEYTOP PARKING INC. - H Shares,2026-06-26,51015769,,0,0,0.0,,02272
"Circuit Fabology Microelectronics Equipment Co., Ltd. - H Shares",2026-06-26,475972065,,0,0,0.0,,09630
SG Micro Corp - H Shares,2026-06-26,674915110,,0,0,0.0,,03661
PT MERDEKA GOLD RESOURCES Tbk- DRS,2026-06-26,314561697,,0,0,0.0,,06228
"Crealights Technology Co., Ltd. - H Shares",2026-06-29,224591761,,0,0,0.0,,01191
"Baige Online Digital Technology Co., Ltd. - H Shares",2026-06-29,66346012,,0,0,0.0,,02672
Alebund Pharmaceuticals (Jiangsu) Limited - B - H Shares,2026-06-29,188139817,,0,0,0.0,,09637
"Guangdong True Health Medical Technology Development Co., Ltd. - B - H Shares",2026-06-30,57362831,,0,0,0.0,,02697
Jiangxi Institute of Biological Products Inc. - H Shares,2026-06-30,51747399,,0,0,0.0,,06915
"Zhejiang Laifual Drive Co., Ltd. - H Shares",2026-06-30,154574735,,0,0,0.0,,03952
"Hangzhou Qiandaohu Xunlong Sci-tech Co., Ltd. - H Shares",2026-06-30,157238354,,0,0,0.0,,06715
